Time (s),Temperature (°C),Mass Flow Rate (g),Pump Speed (%),Engine Speed (%),Shutoff Angle (°),Propane Angle (°),Status,Timestamp (PST)
0,26.25,,,,,,,2025-02-22 17:35:18
1,,,0,,,,,2025-02-22 17:35:18
2,,,,0,,,,2025-02-22 17:35:18
3,,,,,0,,,2025-02-22 17:35:18
4,,,,,,75,,2025-02-22 17:35:18
5,,0.0,,,,,,2025-02-22 17:35:18
6,23.25,,,,,,,2025-02-22 17:35:18
7,,,0,,,,,2025-02-22 17:35:18
8,,,,0,,,,2025-02-22 17:35:18
9,,,,,0,,,2025-02-22 17:35:18
10,,,,,,75,,2025-02-22 17:35:18
11,,0.0,,,,,,2025-02-22 17:35:18
12,22.5,,,,,,,2025-02-22 17:35:18
13,,,0,,,,,2025-02-22 17:35:18
14,,,,0,,,,2025-02-22 17:35:18
15,,,,,0,,,2025-02-22 17:35:18
16,,,,,,75,,2025-02-22 17:35:19
17,,0.0,,,,,,2025-02-22 17:35:19
18,23.0,,,,,,,2025-02-22 17:35:19
19,,,0,,,,,2025-02-22 17:35:19
20,,,,0,,,,2025-02-22 17:35:19
21,,,,,0,,,2025-02-22 17:35:19
22,,,,,,75,,2025-02-22 17:35:19
23,,0.0,,,,,,2025-02-22 17:35:19
24,24.25,,,,,,,2025-02-22 17:35:19
25,,,0,,,,,2025-02-22 17:35:19
26,,,,0,,,,2025-02-22 17:35:19
27,,,,,0,,,2025-02-22 17:35:19
28,,,,,,75,,2025-02-22 17:35:19
29,,0.0,,,,,,2025-02-22 17:35:19
30,25.0,,,,,,,2025-02-22 17:35:20
31,,,0,,,,,2025-02-22 17:35:20
32,,,,0,,,,2025-02-22 17:35:20
33,,,,,0,,,2025-02-22 17:35:20
34,,,,,,75,,2025-02-22 17:35:20
35,,0.0,,,,,,2025-02-22 17:35:20
36,25.0,,,,,,,2025-02-22 17:35:20
37,,,0,,,,,2025-02-22 17:35:20
38,,,,0,,,,2025-02-22 17:35:20
39,,,,,0,,,2025-02-22 17:35:20
40,,,,,,75,,2025-02-22 17:35:20
41,,0.0,,,,,,2025-02-22 17:35:20
42,25.25,,,,,,,2025-02-22 17:35:20
43,,,0,,,,,2025-02-22 17:35:20
44,,,,0,,,,2025-02-22 17:35:20
45,,,,,0,,,2025-02-22 17:35:20
46,,,,,,75,,2025-02-22 17:35:20
47,,0.0,,,,,,2025-02-22 17:35:20
48,24.75,,,,,,,2025-02-22 17:35:21
49,,,0,,,,,2025-02-22 17:35:21
50,,,,0,,,,2025-02-22 17:35:21
51,,,,,0,,,2025-02-22 17:35:21
52,,,,,,75,,2025-02-22 17:35:21
53,,0.0,,,,,,2025-02-22 17:35:21
54,24.75,,,,,,,2025-02-22 17:35:21
55,,,0,,,,,2025-02-22 17:35:21
56,,,,0,,,,2025-02-22 17:35:21
57,,,,,0,,,2025-02-22 17:35:21
58,,,,,,75,,2025-02-22 17:35:21
59,,0.0,,,,,,2025-02-22 17:35:21
60,24.5,,,,,,,2025-02-22 17:35:21
61,,,0,,,,,2025-02-22 17:35:21
62,,,,0,,,,2025-02-22 17:35:21
63,,,,,0,,,2025-02-22 17:35:21
64,,,,,,75,,2025-02-22 17:35:21
65,,0.0,,,,,,2025-02-22 17:35:21
66,24.25,,,,,,,2025-02-22 17:35:22
67,,,0,,,,,2025-02-22 17:35:22
68,,,,0,,,,2025-02-22 17:35:22
69,,,,,0,,,2025-02-22 17:35:22
70,,,,,,75,,2025-02-22 17:35:22
71,,0.0,,,,,,2025-02-22 17:35:22
72,25.0,,,,,,,2025-02-22 17:35:22
73,,,0,,,,,2025-02-22 17:35:22
74,,,,0,,,,2025-02-22 17:35:22
75,,,,,0,,,2025-02-22 17:35:22
